hr,base,red,pct
0,1.238577844,0.9,0.726639835
1,1.095583832,0.77,0.702821616
2,1.018128743,0.73,0.717001661
3,0.824491018,0.69,0.836879948
4,0.884071856,0.675,0.763512598
5,0.851302395,0.64,0.751789263
6,0.678517964,0.6,0.884280199
7,0.794700599,0.72,0.906001582
8,0.657664671,0.6,0.912319039
9,0.681497006,0.64,0.939109041
10,0.770868263,0.725,0.940497922
11,0.893008982,0.83,0.929441939
12,1.095583832,1.02,0.931010453
13,1.45008982,1.18,0.813742696
14,1.68245509,1.34,0.796455138
15,1.941631737,1.51,0.777696394
16,2.230598802,1.52,0.681431371
17,2.358697605,1.6,0.678340452
18,2.293158683,1.7,0.741335527
19,2.480838323,1.65,0.665097755
20,2.331886228,1.51,0.647544457
21,2.036961078,1.3,0.638205616
22,1.783742515,1.17,0.655924266
23,1.643727545,1.08,0.657043196
