busid,res,bus,oth,tot
3005190.0,1041.0495468989056,85.80275391314582,39.420736730610805,1166.3128162881017
3005191.0,1868.5333708023043,81.58325136995926,31.09962062666854,1981.2162427989322
3005193.0,24305.195713456596,2858.876088218224,576.5800514053561,27740.651853080177
3005194.0,18113.290352347954,2144.071569520027,1101.811067672394,21359.172989540373
3005195.0,23300.911120227323,1513.8665652765546,600.3216301128631,25415.154606579683
3005199.0,8937.623697518307,898.1418407807988,494.30810253087844,10330.073640829985
3005200.0,20435.98740732023,1684.3232905731434,773.8360597858067,22894.927621513474
3005201.0,1274.9698543381887,115.4521849271691,31.437112096263462,1421.920075997467
3005202.0,2687.612850307587,251.75885167464114,54.332194121667804,2993.8220095693778
3005203.0,60947.361636203896,5097.547888319869,1496.5919775439797,67541.50150206774
3005209.0,884.9650133483208,38.63903330054798,14.729239848250666,938.3332864971195
3005210.0,14561.751063280959,1463.3104220530565,805.3585361415546,16830.42002147557
3005211.0,1791.9476596725845,143.65959572669277,29.68787948658827,1965.3482437937128
3005212.0,12499.677112929903,966.5713710190408,313.30393113099535,13779.55241507994
3005213.0,28270.36165821465,3346.364879728766,1719.6542845725721,33336.38082251599
3005214.0,31339.890611332416,3709.7052575494786,1906.3702763828405,36955.966145264734
3005215.0,8424.759395261346,547.3589209957577,217.05440046426,9189.192707916434
3005216.0,24458.1580674381,2457.800401117369,1352.6935251338218,28268.65199368929
3005217.0,36856.21806707817,3703.681499611079,2038.3860224793684,42598.28558916861
3005218.0,16567.006838829744,1076.3629632594252,426.8301999119507,18070.239314015846
3005219.0,5255.031763937541,365.6329038769815,54.3336994597162,5674.998367274238
3005220.0,17072.998394100698,1109.2373729288402,439.8665002401345,18622.142779956775
3005221.0,35358.88794438599,2512.7064421928762,2054.221971318114,39926.03221687574
3005222.0,13045.075105385025,907.6460250549189,134.8778127411981,14087.598943181143
3005223.0,9221.663457884739,835.0481317289425,227.379860671311,10284.532108929705
3005224.0,65302.42680401025,4242.716521251901,1682.4431931881854,71227.74147522612
3005225.0,5414.410876599027,452.8533801881334,132.95348089738368,6000.217737684544
3005226.0,1498.7780774889654,139.74055909759687,50.17018146150074,1688.778567925454
