PType_WZ,Date,int_kWh1,int_kWh5,int_kWh9,int_kWh13,int_kWh17,int_kWh21,int_kWh25,int_kWh29,int_kWh33,int_kWh37,int_kWh41,int_kWh45,int_kWh49,int_kWh53,int_kWh57,int_kWh61,int_kWh65,int_kWh69,int_kWh73,int_kWh77,int_kWh81,int_kWh85,int_kWh89,int_kWh93
BUSHIDG_COAST,2021-02-01,44.364000000000004,44.041000000000004,43.57900000000001,42.803999999999995,43.861,46.535000000000004,49.115,47.731,46.806000000000004,48.256,49.172000000000004,48.91,50.006,50.018,49.69200000000001,49.049,48.54900000000001,48.687999999999995,52.749,51.94200000000001,51.114999999999995,50.82599999999999,48.606,46.055
BUSHIDG_COAST,2021-02-02,44.882,44.71,44.162,43.458999999999996,44.352000000000004,46.742,49.344,48.474000000000004,47.638,48.766999999999996,49.712,49.293,50.205,50.522999999999996,49.75500000000001,49.150999999999996,48.619,49.492999999999995,53.058,52.358,51.693999999999996,51.184,49.261,46.919
BUSHIDG_COAST,2021-02-03,45.48,45.370000000000005,44.804,44.108,45.032999999999994,47.394999999999996,50.00599999999999,49.069,48.268,49.507,50.475,50.092,50.961,51.188,50.583999999999996,50.029,49.516999999999996,50.42,53.797,52.995,52.242000000000004,51.616,49.627,47.20099999999999
BUSHIDG_COAST,2021-02-04,45.736999999999995,45.937,45.645,45.214,46.338,48.994,52.237,51.973,51.309999999999995,52.956,54.663,54.611000000000004,55.793,56.3,55.545,54.92,54.105,54.563,57.510999999999996,56.53399999999999,55.43599999999999,54.583000000000006,52.018,49.168
BUSHIDG_COAST,2021-02-05,45.34,45.336,45.128,44.29900000000001,45.161,47.131,50.052,50.62799999999999,48.674,49.58,50.01899999999999,48.897,49.306,48.867999999999995,48.433,47.837999999999994,47.948,49.973,52.629,51.976,51.503,50.652,49.236000000000004,46.954
BUSHIDG_COAST,2021-02-06,45.838,45.538,45.111,44.123000000000005,44.958,46.247,48.686,47.895,46.844,48.103,48.797,48.43000000000001,48.938,49.354,49.375,48.787,48.376,48.952,52.806000000000004,52.211999999999996,51.144,50.738,49.383,47.062999999999995
BUSHIDG_COAST,2021-02-07,44.657,44.342,43.912,43.068,44.054,45.35300000000001,47.109,46.226,45.709999999999994,46.888999999999996,47.674,47.041,47.467,48.108000000000004,48.057,47.498,47.174,48.120000000000005,51.160000000000004,50.989999999999995,50.193,49.703,48.346,46.291000000000004
BUSHIDG_COAST,2021-02-08,43.648,43.456,43.238,42.634,43.72,46.422000000000004,49.199,48.256,47.362,48.899,49.935,49.873999999999995,50.813,50.756,50.458,49.761,49.184,50.205,53.55199999999999,52.900000000000006,52.246,51.86,49.463,46.827
BUSHIDG_COAST,2021-02-09,46.293,46.416,46.094,45.531000000000006,46.598,49.184,52.339000000000006,51.828,51.044,52.475,53.730000000000004,53.471,54.34799999999999,54.567,53.818,53.065000000000005,52.331999999999994,52.852000000000004,55.783,55.026,54.141999999999996,53.297999999999995,50.973000000000006,48.286
BUSHIDG_COAST,2021-02-10,46.205,46.196999999999996,45.787,45.011,45.882999999999996,47.978,50.712,50.302,48.852999999999994,49.78000000000001,50.258,49.266999999999996,49.755,49.496,49.116,48.403999999999996,48.225,49.589,52.68,51.926,51.297000000000004,50.724,48.742000000000004,46.21
